"Date(UTC)","UnixTimeStamp","No. of Verified Contracts"
"2022-01-31","1643587200","280"
"2022-02-01","1643673600","255"
"2022-02-02","1643760000","280"
"2022-02-03","1643846400","258"
"2022-02-04","1643932800","271"
"2022-02-05","1644019200","142"
"2022-02-06","1644105600","193"
"2022-02-07","1644192000","321"
"2022-02-08","1644278400","294"
"2022-02-09","1644364800","295"
"2022-02-10","1644451200","331"
"2022-02-11","1644537600","298"
"2022-02-12","1644624000","251"
"2022-02-13","1644710400","188"
"2022-02-14","1644796800","299"
"2022-02-15","1644883200","235"
"2022-02-16","1644969600","324"
"2022-02-17","1645056000","229"
"2022-02-18","1645142400","278"
"2022-02-19","1645228800","253"
"2022-02-20","1645315200","238"
"2022-02-21","1645401600","299"
"2022-02-22","1645488000","329"
"2022-02-23","1645574400","251"
"2022-02-24","1645660800","249"
"2022-02-25","1645747200","234"
"2022-02-26","1645833600","198"
"2022-02-27","1645920000","216"
"2022-02-28","1646006400","316"
"2022-03-01","1646092800","344"
"2022-03-02","1646179200","322"
"2022-03-03","1646265600","304"
"2022-03-04","1646352000","541"
"2022-03-05","1646438400","361"
"2022-03-06","1646524800","340"
"2022-03-07","1646611200","352"
"2022-03-08","1646697600","339"
"2022-03-09","1646784000","288"
"2022-03-10","1646870400","250"
"2022-03-11","1646956800","346"
"2022-03-12","1647043200","264"
"2022-03-13","1647129600","209"
"2022-03-14","1647216000","299"
"2022-03-15","1647302400","267"
"2022-03-16","1647388800","323"
"2022-03-17","1647475200","326"
"2022-03-18","1647561600","299"
"2022-03-19","1647648000","263"
"2022-03-20","1647734400","212"
"2022-03-21","1647820800","295"
"2022-03-22","1647907200","237"
"2022-03-23","1647993600","289"
"2022-03-24","1648080000","282"
"2022-03-25","1648166400","311"
"2022-03-26","1648252800","202"
"2022-03-27","1648339200","217"
"2022-03-28","1648425600","389"
"2022-03-29","1648512000","334"
"2022-03-30","1648598400","300"
"2022-03-31","1648684800","313"
"2022-04-01","1648771200","324"
"2022-04-02","1648857600","220"
"2022-04-03","1648944000","228"
"2022-04-04","1649030400","292"
"2022-04-05","1649116800","298"
"2022-04-06","1649203200","325"
"2022-04-07","1649289600","272"
"2022-04-08","1649376000","352"
"2022-04-09","1649462400","193"
"2022-04-10","1649548800","195"
"2022-04-11","1649635200","306"
"2022-04-12","1649721600","320"
"2022-04-13","1649808000","331"
"2022-04-14","1649894400","269"
"2022-04-15","1649980800","304"
"2022-04-16","1650067200","220"
"2022-04-17","1650153600","246"
"2022-04-18","1650240000","317"
"2022-04-19","1650326400","292"
"2022-04-20","1650412800","340"
"2022-04-21","1650499200","303"
"2022-04-22","1650585600","245"
"2022-04-23","1650672000","202"
"2022-04-24","1650758400","230"
"2022-04-25","1650844800","274"
"2022-04-26","1650931200","323"
"2022-04-27","1651017600","272"
"2022-04-28","1651104000","282"
"2022-04-29","1651190400","358"
"2022-04-30","1651276800","179"
"2022-05-01","1651363200","170"
"2022-05-02","1651449600","254"
"2022-05-03","1651536000","221"
"2022-05-04","1651622400","284"
"2022-05-05","1651708800","293"
"2022-05-06","1651795200","310"
"2022-05-07","1651881600","220"
"2022-05-08","1651968000","215"
"2022-05-09","1652054400","282"
"2022-05-10","1652140800","245"
"2022-05-11","1652227200","203"
"2022-05-12","1652313600","195"
"2022-05-13","1652400000","304"
"2022-05-14","1652486400","140"
"2022-05-15","1652572800","121"
"2022-05-16","1652659200","300"
"2022-05-17","1652745600","290"
"2022-05-18","1652832000","285"
"2022-05-19","1652918400","280"
"2022-05-20","1653004800","191"
"2022-05-21","1653091200","174"
"2022-05-22","1653177600","146"
"2022-05-23","1653264000","252"
"2022-05-24","1653350400","300"
"2022-05-25","1653436800","321"
"2022-05-26","1653523200","286"
"2022-05-27","1653609600","231"
"2022-05-28","1653696000","155"
"2022-05-29","1653782400","143"
"2022-05-30","1653868800","318"
"2022-05-31","1653955200","360"
"2022-06-01","1654041600","310"
"2022-06-02","1654128000","303"
"2022-06-03","1654214400","217"
"2022-06-04","1654300800","188"
"2022-06-05","1654387200","260"
"2022-06-06","1654473600","316"
"2022-06-07","1654560000","147"
"2022-06-08","1654646400","326"
