"Transaction","From","To","Crypto","USD","Txn","ID","Sex","Type","Skin","Slots","Rank"
"Claimed",NA,"0x00d7c9",NA,NA,2017-06-23,8431,"Girl","Female","Light",3,"1297920000%"
"Sold","0x515a82","0x5b098b",0.1,29,2017-06-29,8432,"Guy","Male","Mid",5,"6100597800%"
"Claimed",NA,"0x515a82",NA,NA,2017-06-23,8432,"Guy","Male","Mid",5,"6100597800%"
"Sold","16349963","7074668",0.2,37,2018-09-11,8433,"Guy","Male","Light",3,"3194631000%"
"Sold","55241","16349963",0.1,76,2018-01-01,8433,"Guy","Male","Light",3,"3194631000%"
"Claimed",NA,"55241",NA,NA,2017-06-23,8433,"Guy","Male","Light",3,"3194631000%"
"Sold","0x000c1c…","josie",0.5,61,2019-12-17,8434,"Girl","Female","Light",3,"1402880000%"
"Claimed",NA,"0x887caa",NA,NA,2017-06-23,8434,"Girl","Female","Light",3,"1402880000%"
"Claimed",NA,"48543",NA,NA,2017-06-23,8435,"Guy","Male","Albino",2,"2720569500%"
"Sold","NeonNFT","lazyjack",4.25,1485,2020-10-09,8436,"Girl","Female","Dark",2,"1950720000%"
"Sold","Party","NeonNFT",4.25,1491,2020-10-08,8436,"Girl","Female","Dark",2,"1950720000%"
"Sold","Lmao","Party",3.52,1236,2020-10-08,8436,"Girl","Female","Dark",2,"1950720000%"
"Sold","223332","Lmao",5.8,2110,2020-09-28,8436,"Girl","Female","Dark",2,"1950720000%"
"Sold","0x5e7ee9","223332",4,1431,2020-09-28,8436,"Girl","Female","Dark",2,"1950720000%"
"Sold","0xf4239e","0x5e7ee9",3.75,1290,2020-09-25,8436,"Girl","Female","Dark",2,"1950720000%"
"Sold","0xe4c479","0xf4239e",3.5,1210,2020-09-24,8436,"Girl","Female","Dark",2,"1950720000%"
"Sold","Hemba","0xe4c479",3.25,1236,2020-09-20,8436,"Girl","Female","Dark",2,"1950720000%"
"Claimed",NA,"Hemba",NA,NA,2017-06-23,8436,"Girl","Female","Dark",2,"1950720000%"
"Sold","8533182","9797400",0.1,38,2018-04-07,8437,"Girl","Female","Mid",2,"1248000000%"
"Claimed",NA,"8533182",NA,NA,2017-06-23,8437,"Girl","Female","Mid",2,"1248000000%"
"Sold","0xe4c479","0xe5e771",3.5,1228,2020-09-26,8438,"Girl","Female","Dark",4,"2208000000%"
"Sold","Hemba","0xe4c479",3.25,1236,2020-09-20,8438,"Girl","Female","Dark",4,"2208000000%"
"Claimed",NA,"Hemba",NA,NA,2017-06-23,8438,"Girl","Female","Dark",4,"2208000000%"
"Claimed",NA,"13358210",NA,NA,2017-06-23,8439,"Girl","Female","Light",3,"1541120000%"
"Claimed",NA,"48543",NA,NA,2017-06-23,8440,"Girl","Female","Albino",4,"3612480000%"
"Claimed",NA,"2126677",NA,NA,2017-06-23,8441,"Guy","Male","Albino",3,"2254560000%"
"Sold","11976269","Kataster…",0.79,181,2020-06-26,8442,"Guy","Male","Mid",2,"1799622000%"
"Claimed",NA,"0xb6be4d",NA,NA,2017-06-23,8442,"Guy","Male","Mid",2,"1799622000%"
"Claimed",NA,"sov",NA,NA,2017-06-23,8443,"Guy","Male","Albino",4,"6229228500%"
"Sold","Carlini8","0x568cf5",5.8,2076,2020-09-29,8444,"Guy","Male","Dark",3,"2290794000%"
