Punk,Sex,Type,Skin,TypeSkin,Slots,Att1,Att2,Att3,Att4,Att5,Att6,Att7,TypeRare,AttCount,Att1,Att2,Att3,Att4,Att5,Att6,Att7,Min,Avg,Rank
2711,Guy,Ape,Ape,ApeApe,2,Earring,Cap Forward,(blank),(blank),(blank),(blank),(blank),0%,35.60%,24.59%,2.54%,,,,,,2.54%,13.57%,0.032556000%
4830,Guy,Zombie,Zombie,ZombieZombie,3,Wild Hair,Medical Mask,Classic Shades,(blank),(blank),(blank),(blank),1%,45.01%,4.47%,1.75%,5.02%,,,,,1.75%,3.75%,0.032970667%
8307,Guy,Zombie,Zombie,ZombieZombie,2,Mustache,Stringy Hair,(blank),(blank),(blank),(blank),(blank),1%,35.60%,2.88%,4.63%,,,,,,2.88%,3.76%,0.033044000%
2566,Guy,Zombie,Zombie,ZombieZombie,2,Normal Beard,Messy Hair,(blank),(blank),(blank),(blank),(blank),1%,35.60%,2.92%,4.60%,,,,,,2.92%,3.76%,0.033088000%
4747,Guy,Zombie,Zombie,ZombieZombie,2,Headband,Clown Eyes Blue,(blank),(blank),(blank),(blank),(blank),1%,35.60%,4.06%,3.84%,,,,,,3.84%,3.95%,0.034760000%
9804,Guy,Zombie,Zombie,ZombieZombie,4,Smile,Shadow Beard,Stringy Hair,Small Shades,(blank),(blank),(blank),1%,14.20%,2.38%,5.26%,4.63%,3.78%,,,,2.38%,4.01%,0.035310000%
8127,Guy,Zombie,Zombie,ZombieZombie,1,Headband,(blank),(blank),(blank),(blank),(blank),(blank),1%,3.33%,4.06%,,,,,,,4.06%,4.06%,0.035728000%
8472,Guy,Zombie,Zombie,ZombieZombie,2,Mohawk Thin,Small Shades,(blank),(blank),(blank),(blank),(blank),1%,35.60%,4.41%,3.78%,,,,,,3.78%,4.10%,0.036036000%
3493,Guy,Zombie,Zombie,ZombieZombie,2,Shadow Beard,Peak Spike,(blank),(blank),(blank),(blank),(blank),1%,35.60%,5.26%,3.03%,,,,,,3.03%,4.15%,0.036476000%
2066,Guy,Zombie,Zombie,ZombieZombie,1,Knitted Cap,(blank),(blank),(blank),(blank),(blank),(blank),1%,3.33%,4.19%,,,,,,,4.19%,4.19%,0.036872000%
8531,Guy,Zombie,Zombie,ZombieZombie,3,Goat,Stringy Hair,Regular Shades,(blank),(blank),(blank),(blank),1%,45.01%,2.95%,4.63%,5.27%,,,,,2.95%,4.28%,0.037693333%
5742,Guy,Zombie,Zombie,ZombieZombie,1,Mohawk Dark,(blank),(blank),(blank),(blank),(blank),(blank),1%,3.33%,4.29%,,,,,,,4.29%,4.29%,0.037752000%
1119,Guy,Zombie,Zombie,ZombieZombie,3,Shadow Beard,Do-rag,Eye Patch,(blank),(blank),(blank),(blank),1%,45.01%,5.26%,3.00%,4.61%,,,,,3.00%,4.29%,0.037752000%
2338,Guy,Zombie,Zombie,ZombieZombie,1,Mohawk Thin,(blank),(blank),(blank),(blank),(blank),(blank),1%,3.33%,4.41%,,,,,,,4.41%,4.41%,0.038808000%
5944,Guy,Zombie,Zombie,ZombieZombie,1,Mohawk,(blank),(blank),(blank),(blank),(blank),(blank),1%,3.33%,4.41%,,,,,,,4.41%,4.41%,0.038808000%
5412,Guy,Zombie,Zombie,ZombieZombie,2,Crazy hair,Nerd Glasses,(blank),(blank),(blank),(blank),(blank),1%,35.60%,4.14%,4.72%,,,,,,4.14%,4.43%,0.038984000%
2938,Guy,Zombie,Zombie,ZombieZombie,1,Wild Hair,(blank),(blank),(blank),(blank),(blank),(blank),1%,3.33%,4.47%,,,,,,,4.47%,4.47%,0.039336000%
7756,Guy,Zombie,Zombie,ZombieZombie,3,Shadow Beard,Do-rag,Horned Rim Glasses,(blank),(blank),(blank),(blank),1%,45.01%,5.26%,3.00%,5.35%,,,,,3.00%,4.54%,0.039922667%
8386,Guy,Zombie,Zombie,ZombieZombie,2,Crazy hair,Classic Shades,(blank),(blank),(blank),(blank),(blank),1%,35.60%,4.14%,5.02%,,,,,,4.14%,4.58%,0.040304000%
3489,Guy,Zombie,Zombie,ZombieZombie,2,Stringy Hair,Eye Patch,(blank),(blank),(blank),(blank),(blank),1%,35.60%,4.63%,4.61%,,,,,,4.61%,4.62%,0.040656000%
1658,Guy,Zombie,Zombie,ZombieZombie,1,Stringy Hair,(blank),(blank),(blank),(blank),(blank),(blank),1%,3.33%,4.63%,,,,,,,4.63%,4.63%,0.040744000%
6304,Guy,Zombie,Zombie,ZombieZombie,2,Crazy hair,Regular Shades,(blank),(blank),(blank),(blank),(blank),1%,35.60%,4.14%,5.27%,,,,,,4.14%,4.71%,0.041404000%
2249,Guy,Zombie,Zombie,ZombieZombie,2,Bandana,Eye Patch,(blank),(blank),(blank),(blank),(blank),1%,35.60%,4.81%,4.61%,,,,,,4.61%,4.71%,0.041448000%
2484,Guy,Zombie,Zombie,ZombieZombie,2,Wild Hair,Classic Shades,(blank),(blank),(blank),(blank),(blank),1%,35.60%,4.47%,5.02%,,,,,,4.47%,4.75%,0.041756000%
6275,Guy,Zombie,Zombie,ZombieZombie,2,Shadow Beard,Mohawk Dark,(blank),(blank),(blank),(blank),(blank),1%,35.60%,5.26%,4.29%,,,,,,4.29%,4.78%,0.042020000%
