"Wallet Address","Raw"
"0x9a2fabB4B1E999ab3FeE1a3DAb3A905Ea269afd6",80369989981245227018
"0xC04f4e239bA93270aBf2f9542e607A7a5C8A82ba",1.40645542637522e+20
"0x47376dbAB0A842Fe5a988cDCd12033261E597928",7.9129169321585e+19
"0x359AbDCc15C392Dea9213ACF0c0eB1ae718DBF82",60273936346938187776
"0x19dc26265A4b73b9187f785EeFE3beBA6E4228D1",1.58565964829065e+20
"0x3A7cA192eE74EF3E1C89c7b0D32Fb2e388B6222E",40166177448373084160
"0x92ECBEbc53b1E7d07B1bF4DeF5Fb9eD2f85b6037",1.60342470653038e+20
"0xBcb77Ac55027677B3118848B158Ad731dd811E65",80296963712887095296
"0xa49E0FE87cE0835fAc09C3A883e103A658bC9eFb",40148287445839872000
"0xDBbdc3850DD4c010c2aE0cad6B265A96919a619D",40145179511821467648
"0x5BfB736d353FFc2Ec3F2C982aae3781549971354",40134547380530708480
"0xf4bBc3F8F9dAe1b19DA82dAe46711Bda90f06edd",4.01164390847154e+20
"0x538eB0f1AEe62dC84340a9a1144683f1552Eb40c",2.20364522770298e+20
"0xe1Dd926752db46Eb338925e54d5E7DF618d6911B",2.80913210714513e+20
"0x6AA22589C98c87F2E4c033B7F754405266d129DC",94489414928842342400
"0x007D2D5c4D8c4190f8ef67e35b24F6A79b946170",4.81533389430439e+20
"0x93F3F612A525a59523e91CC5552F718DF9fc0746",2.918192239426e+20
"0x173C323C4A79454e0Db6DbD7db24178AbbB7111C",1.40403160555111e+20
"0x0006e4548AED4502ec8c844567840Ce6eF1013f5",99686887073273495552
"0x15331a998c2ac6D223C0b6e5eb861CC2Fbc261BA",8.66975538325918e+20
"0x5525457Cc5e86Be6D3d6B00A44bDf6D19146d1bE",40105643937186152448
"0xE48D9f8456462A211E0A033B830bE4e2bC5680d7",74684551391764119552
"0x0B80fAf286C9aA49cA06Cc72eF338b2E03A3feBe",4.54687822923625e+20
"0x1e2A4977e37C1cB238f8E16a0187D9bF66C60cB5",40102096797656186880
"0xA9529EA1B507727371985A27c83Bb703aa8277bc",60370359736310595584
"0x252cAb6Ea812f72fe3b784B98Ff0D162b634E67E",60146715701771468800
"0x0c96bA5B95Dc7D13581b937A3696A8e7167e06A0",80168431704916705280
"0xa1DE6Cd469037207F710Dd17Baa6b5f8739D3261",2.60532234866872e+20
"0xbBB1199528a0F5DAB92A3fA5BA424C4f0e1A6807",6.102821073785e+19
"0xd0fb3525bA0e0b5eed902D7F9766D8789ec3878d",1.40205867595606e+20
"0xCbe88B9A28b74aC60B3D28815a0Aaa2aF037b0BB",1.20202393232613e+20
"0x0EA1e9AC50eC4D8dB153580C2aEC1c5ee13C0961",40061532875015340032
"0x5E667ce0FeA3f405A097FcD9dc1d1Da6375E7Eea",40042216815278866432
"0xf7D79Eb624e29e7EDdB6e196B514e4f7890fB43e",40039391682013929472
"0xC00C2BCB33F0600eE5466F0f7424Ce4a7150E7C8",4.0037883670919e+19
"0xe7bc0848e35B0C63a149Dd0cdf9E784895e6D1a1",40036568935398588416
"0x4D5B082Fc164a7BF38FaB4b133C1e8f3D438D406",80006189514593533952
"0x40ae687B99f9278e94Dd42909E3ff7c98c1eeE14",2.00158722660018e+20
"0x116277E14bB2beCb282cE68EAdE7983144B8bC7E",1.14727927020294e+20
"0x37d5ee0b82d0d0652b67Ed58E7657325E09d0093",80059363903850496000
"0x437A1A35E90157a2dE4661d294bde7e0654727e0",40029371486806319104
"0xb29d2aBAAec6a64B0Eb22105FF93b701248acEF8",1.20087341783527e+20
"0xbe11549bdf939cE19304Faf163CE385e4E80c530",60320899902557937664
"0x255E0c0Af0a87d95944E9a007A99eae7C39B54Cb",40021047140661428224
"0x398a20F8A91A7406343e75F4Ac1Eaad6902D3862",4.0020201235013e+19
"0x72BA1965320ab5352FD6D68235Cc3C5306a6FFA2",60655726836027318272
"0xF49c4794E46A4fa3C821C70Eb71f9310B1a977F6",40016225537079820288
"0xfE14E0b056223ee2747C6813bca05e3af03B07B0",6.0016052070422e+19
"0xC024559C710123b6caf5D225B56913aaB339aAd0",2.15922054479734e+20
"0x09F40181AA6aC85c7EaDb628498C812778366972",99918534405666439178
"0x46A968F38F2Ef98Eb51cC8c8a2C641Fd47042964",1.35454421859234e+20
"0x3f5D95c4ac6f751B9236cB03f7a7Be8A3c5A8F20",1.59884992757297e+20
"0xdbc605b9Edd0B5fd3B58e75E975cbA62385A7E4a",1.4632734402332e+20
"0xEe7e94aA2A2974f0C29C352aBb3e487B63285DEc",1.4037427172514e+20
"0x98D539aE90481E921fd9fb826500F2aF06337555",39983883808065552384
"0xAab7afa6361506676d4F96DAE35AbFCC9A825DE7",2.79883372633338e+20
"0x0Ad82809168Be581d1e708457B4a45b0bB311632",83331404950168813578
"0xEC3281124d4c2FCA8A88e3076C1E7749CfEcb7F2",1.17534897440376e+20
"0x1AcF073E0ffCeef321046336696e0c2c993a6a98",97665732887837425664
"0x6208470aeeB823E5D3648e425F3D036444A3C7B0",59845891939512475658
"0xe519f4cd2803BA53A40E6377E82406e548418660",39944151938971074560
"0x64467F6Dd50727e3dd554e9af48ca7346436dFE0",1.19823099681845e+20
"0x3E204F427Bd69e2ee7402a71fb1CbdD616B40200",1.74408478265523e+20
"0x2Ff7913d16bBD79136B015034cB54053607aC58B",80109807384634130432
"0x4fD37635B69a004BCB89616924792AEAc5c496ba",1.98708196711152e+20
"0x3CA206264762Caf81a8F0A843bbB850987B41e16",39902446769099456512
"0x352d8F96b44b0dCB9cfD316BE4601b1FbF7bCACf",39898457800513134592
"0x707985F6D0D8FB14Fce77E88AFCF4282746e108a",3.9895853461758e+19
"0xA333E7a5A85f5022bC58c2F299765134b927C163",59841588147296501760
"0xB9F17aE56C2FeBBDA891f911658f824c3D58a488",1.39616067682954e+20
"0xe92aF5194021cBf48dE35E05430537794d16D592",2.98430951044512e+20
"0xa9D9CF1f09f8bc51EC414a7782159F83f8FdB0E8",39885846750336843776
"0x4F50d47D20380172746527bbeAa274940C38EFAC",1.18791312887696e+20
"0xe2695d6D8325BA2b2c47ac160B9c0338fe13557b",39875698042587774976
"0x7C60130a2bb5E10e6e6Bd946053B10E7DeF1def1",39874216857028935680
"0x00A839dE7922491683f547a67795204763ff8237",79732913322433675264
"0x360698441DCcabc21d5F972dFD700602C2C744Ad",3.18909492651827e+20
"0x8590EB6D3B4cf6156cffe8FEFa2543d842Fd2456",39847545538824658944
"0x321a1f4026C5D4c48E71c4F0f0d1B3F17E9d200b",6.32329140622283e+20
"0xB77562124be8Ac967cF7Fc24573FE252AA39d95D",1.18698011162345e+20
"0x823697207c14A9F3ee721c12a5F08Be4c8e95b92",79655504315031207936
"0x72f8Abd8f800C22A15C23EeA6055Aa4e552460B4",39818191076258439168
"0x7D73e81f9A0E7828831c9903BB9053bbF6A71E72",80084507672487559178
"0xeC5F9994ebE1bDEAa009Cb0a3e984c5C55bf3fDD",39815039602309709824
"0x7269d7d6F8a76a8fAEf77a77509826c1fA829C19",1.1334058764872e+21
"0xB1833A8a5614eA6692C679e20A3D8EA3f5B9FfaA",1.39332181709332e+20
"0x8D4C534Ffcc5019209F0eCE9972EED339c57049a",2.38793207295962e+20
"0x556CbBbB9c1A029e0dE37f57c2A516C3C708C5a6",39797090981319811072
"0x7517eE5Aa89b9757A575F5eFE0A38826Df8a49B2",39793637607323410432
"0x4560a9F2FD9253eb7017258c5a347Bcc21dD795B",59688426719114862592
"0xEE68085f9b0a893f0DD8aC69281d9B16F9Bc381f",3.38114009876394e+20
"0x740FE8b542A0cFE3A29dBEc55b6D83DdB76CC9ca",1.19038898435151e+20
"0x25CEDE402a77a1bE0883F3B484B1Ee57a43C9311",59691343873771061258
"0x4A638BCE00074010309B968c71A1E19a194b0940",2.58605351803905e+20
"0xBb6691F5684A947EA06784C7E98A1Ae78f9Ed2C8",2.19822221902505e+20
"0x019EdcB493Bd91e2b25b70f26D5d9041Fd7EF946",98960580310545596426
"0x9d54072c64c2271a9FDD25e45a20400ce4a47207",99371305276987932672
"0x02ef280e97cab5Dd741F17034Ba5AE5f089718fB",1.18941152806103e+20
"0x908577127A530C7F3FFF655ce78942bc53F3f95B",7.86075402157637e+20
"0x1F4c435daD404206f9e835911fbF262DB83e2bAB",39746385125565587456
"0x97dFAF56F9CA30CC437a34A9ccEae993D3fe1e75",1.98686923270685e+20
"0xC72c599caf508aE796111e00E969e68B035fC111",56693646905797877760
"0xEEB9C37797DbC50350Bd2844D452dD83B74A72DB",8.65367202444661e+20
"0x30c699c0AA345523C19Ca623943c98A8Ac2984cF",79457776671246090240
"0xe9E0F6393AF0C267DB849b63b015c7352c5Eb27E",3.77413645906191e+20
"0xcE76b221DefC722fCfFe27a43c7E95B8138373E5",1.59216638367081e+20
"0x004c350cD1AB72ea28CD6c47935b5bB31f64A928",1.67917918008402e+20
