X,Y
690.0783201,353.4846765
691.4880817,359.123723
692.1929625,364.0578888
692.8978434,368.9920545
694.307605,373.9262202
695.0124858,378.8603859
696.4222474,384.4994325
697.1271283,390.138479
698.5368899,395.7775255
699.9466515,401.4165721
701.3564132,407.0556186
702.061294,412.6946652
703.4710556,419.0385925
704.1759364,423.2678774
705.5856981,428.2020431
706.2905789,433.1362089
707.7003405,438.7752554
708.4052213,443.7094211
709.814983,448.6435868
710.5198638,454.2826334
712.6345062,459.9216799
714.0442679,466.2656073
715.4540295,471.9046538
716.8637911,476.8388195
718.2735528,481.7729852
720.3881952,486.0022701
721.7979569,490.2315551
725.322361,493.0510783
729.5516459,489.5266742
731.6662883,483.8876277
733.0760499,478.2485812
733.7809308,472.6095346
734.4858116,466.2656073
735.1906924,460.6265607
735.8955732,454.9875142
736.600454,447.938706
737.3053348,440.8898978
738.0102157,433.8410897
738.7150965,426.0874007
739.4199773,418.3337117
740.1248581,411.9897843
740.8297389,405.645857
741.5346198,399.3019296
742.2395006,393.6628831
742.9443814,386.6140749
743.6492622,380.2701476
745.0590238,374.631101
746.4687855,370.4018161
749.2883087,367.5822928
752.107832,370.4018161
754.2224745,374.631101
755.6322361,379.5652667
757.0419977,385.2043133
758.4517594,390.8433598
760.5664018,396.4824064
761.9761635,401.4165721
763.3859251,407.0556186
763.3859251,407.0556186
765.5005675,412.6946652
767.61521,417.6288309
769.7298524,420.4483541
771.8444949,421.153235
775.368899,418.3337117
777.4835414,414.1044268
778.8933031,409.8751419
780.3030647,404.9409762
781.0079455,399.3019296
782.4177072,394.3677639
783.122588,388.0238365
784.5323496,381.6799092
785.2372304,375.3359818
785.9421112,369.6969353
786.6469921,362.6481271
787.3518729,355.599319
788.0567537,349.9602724
788.7616345,345.0261067
789.4665153,339.3870602
789.4665153,333.0431328
790.1713961,326.6992054
790.876277,321.0601589
791.5811578,315.4211124
792.2860386,309.077185
792.9909194,302.7332577
793.6958002,295.6844495
794.400681,289.3405221
795.1055619,283.7014756
795.1055619,277.3575482
795.8104427,270.3087401
795.8104427,270.3087401
797.2202043,262.5550511
797.9250851,254.8013621
797.9250851,247.7525539
798.6299659,239.9988649
799.3348468,232.9500568
800.7446084,225.1963678
801.4494892,218.1475596
801.4494892,212.5085131
802.15437,205.4597049
802.8592509,198.4108967
803.5641317,190.6572077
804.2690125,183.6083995
804.9738933,177.2644722
805.6787741,170.215664
806.3836549,163.8717367
807.0885358,155.4131669
807.7934166,147.6594779
809.2031782,138.4960272
809.908059,131.4472191
810.6129398,124.3984109
811.3178207,118.7593644
812.0227015,112.415437
812.7275823,106.0715096
814.1373439,98.31782066
814.1373439,91.9738933
815.5471056,84.92508513
816.2519864,77.87627696
817.661748,69.41770715
818.3666288,61.66401816
819.7763905,55.32009081
821.1861521,48.27128263
821.8910329,43.33711691
823.3007946,37.69807037
824.7105562,30.6492622
826.1203178,25.01021566
827.5300795,18.66628831
830.3496027,12.32236095
832.4642452,7.388195233
835.9886493,3.158910329
839.5130533,1.044267877
842.3325766,0.33938706
846.5618615,1.749148695
850.0862656,3.863791146
852.9057889,6.683314415
856.430193,10.2077185
859.954597,13.73212259
862.7741203,18.66628831
865.5936436,23.60045403
868.4131669,27.12485812
871.2326901,32.05902384
874.0522134,37.69807037
877.5766175,43.33711691
880.3961407,50.38592509
883.215664,56.72985244
886.7400681,63.0737798
889.5595914,68.71282633
892.3791146,75.05675369
895.1986379,79.99091941
896.6083995,84.22020431
899.4279228,89.15437003
901.5425653,93.38365494
905.0669694,99.02270148
907.8864926,103.9568672
909.2962543,108.1861521
